company_name,slug,website,phone,city,region,services,emergency_service,brands_supported,notes,source_urls,tsbc_verified,tsbc_fsr_license,tsbc_gas_license,tsbc_electrical_license,tsbc_license_status,tsbc_enforcement_actions,tsbc_last_verified,ems_certified,strata_approved,cold_climate_pro
Nest Heating & Air Conditioning,nest-heating-air-conditioning,https://nestheating.ca,+1-604-210-8817,Burnaby,Lower Mainland,"heat_pumps, boilers",unknown,"Lennox, Navien","Service area: Vancouver, Burnaby, Richmond, Surrey, Coquitlam, Langley, North Vancouver, West Vancouver, Delta, Maple Ridge, Abbotsford. Lennox Authorized Dealer; tankless water heater services; 10+ years; CAUTION: shares listed address with ROMA Heating and HeatLand — recommend independent verification",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Greenfoot Energy Solutions,greenfoot-energy-solutions,https://greenfootenergy.ca,+1-778-907-1314,Surrey,Lower Mainland,"heat_pumps, air_to_water",unknown,"Mitsubishi, Nordic (Geothermal)","Service area: Vancouver, Surrey, Burnaby, Coquitlam, North Vancouver, West Vancouver, Richmond, Langley, Delta, Maple Ridge, Squamish. Geothermal/ground-source capability; spray foam insulation; home energy assessments; mini-split + ducted + geothermal systems",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Comfort Plus Heating and Air Conditioning,comfort-plus-heating-and-air-conditioning,https://comfortplus.ca,+1-604-554-7587,Port Coquitlam,Lower Mainland,heat_pumps,unknown,"Daikin, Carrier","Service area: Vancouver, Coquitlam, Port Coquitlam, Burnaby, Richmond, Surrey, Langley, Delta, Chilliwack. Carrier and Daikin dealer; plumbing + electrical also offered; rebate assistance; financing via FinanceIt",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Knowledge HVAC & Refrigeration Ltd.,knowledge-hvac-refrigeration-ltd,https://knowledgehvacr.ca,+1-778-522-5669,Surrey,Lower Mainland,heat_pumps,unknown,,"Service area: Vancouver, Lower Mainland, Fraser Valley. BCIT and JARTS trained; FortisBC Trade Ally; commercial refrigeration; VRF experience confirmed; 24/7 emergency; 1000+ clients served",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Ariana Heating & Air Conditioning Ltd.,ariana-heating-air-conditioning-ltd,https://arianaheating.ca,+1-778-861-7120,Maple Ridge,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Vancouver, Maple Ridge, Port Coquitlam, Lower Mainland. Founded 2006; all brands; gas/oil/electric furnaces + water heaters + boilers + heat pumps; 24/7 emergency",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Ashton Plumbing Heating & Air Conditioning,ashton-plumbing-heating-air-conditioning,https://callashton.com,+1-604-373-6522,Richmond,Lower Mainland,heat_pumps,unknown,Mitsubishi,"Service area: Vancouver, Richmond, Burnaby, Surrey, Lower Mainland. Founded 1987; 4.7/5 with 3508 reviews; Mitsubishi Mr. Slim specialist; full plumbing + HVAC + electrical; residential and commercial",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Northwind Heating Cooling and Fireplace Showroom,northwind-heating-cooling-and-fireplace-showroom,https://northwindheating.com,+1-604-572-7944,Surrey,Lower Mainland,"heat_pumps, hybrid",unknown,"Daikin, Lennox","Service area: Surrey, Langley, Delta, White Rock, Lower Mainland. BBB Accredited A+; Daikin Authorized Dealer; in business since 1989; ducted and ductless; fireplace showroom; rebate assistance; FortisBC partner",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Parkinson's Heating Ltd.,parkinsons-heating-ltd,https://parkinsonsheating.com,+1-604-599-8444,Surrey,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,Lennox,"Service area: Surrey, Langley, Delta, Lower Mainland. Lennox and Valor Authorized Dealer; serving Lower Mainland since 1947; gas fitters licensed and bonded; Home Performance Contractor Network registered; boiler and air handler experience",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
John Sadler Plumbing & Heating,john-sadler-plumbing-heating,https://johnsadler.ca,+1-604-531-4355,Surrey,Lower Mainland,"heat_pumps, boilers",unknown,"Carrier, Trane, Lennox, Daikin, Goodman, Rheem","Service area: Surrey, South Surrey, White Rock, Langley, North Delta, Cloverdale, Fleetwood. Family owned since 1976; multi-brand installer; plumbing + heating combined; strata and residential",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Nation Furnace Heating & Air Conditioning HVAC Ltd.,nation-furnace-heating-air-conditioning-hvac-ltd,https://nationheating.ca,+1-604-299-5006,Burnaby,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Surrey, Burnaby, Vancouver, Coquitlam, New Westminster, Langley. Serving Metro Vancouver since 2003; residential and commercial; boiler + furnace + heat pump + gas fireplace + air duct services; Mon-Sun 8AM-8PM",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Accolade Heating & Air Conditioning,accolade-heating-air-conditioning,https://accoladeheating.com,+1-778-689-7287,Surrey,Lower Mainland,"heat_pumps, boilers",unknown,"Rheem, Navien, Rinnai","Service area: Surrey, South Surrey, Newton, Guildford, Fleetwood, Cloverdale, Clayton. Red Seal certified; TECA Quality First certified; 15+ years experience; South Surrey coastal heat pump specialist; strata and coach house expertise; 24/7 emergency",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Veteran HVAC,veteran-hvac,https://veteranhvac.ca,+1-604-991-4894,Surrey,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Surrey, Vancouver, Burnaby, Lower Mainland. BC Hydro and FortisBC registered; CleanBC rebate assistance; boiler + tankless water heater + gas fitting; veteran-owned; no physical address confirmed — verify independently",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Greenway Mechanical,greenway-mechanical,https://greenwaymechanical.com,+1-604-359-8700,Port Coquitlam,Lower Mainland,"heat_pumps, air_to_water",unknown,,"Service area: Surrey, Vancouver, Port Coquitlam, Lower Mainland. 20+ years experience; geothermal/ground-source heat pump installation confirmed; residential + commercial + industrial; 10% discount for military/first responders/teachers; 24/7",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Pro Ace Heating and Air Conditioning,pro-ace-heating-and-air-conditioning,https://acecare.ca,+1-604-293-3770,Burnaby,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Surrey, Burnaby, Vancouver, Lower Mainland. In business since 1995; Class A/B gas fitters; licensed refrigerant handling; covers all Surrey town centres; 24/7; EV charger installation also offered",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Primo Heat,primo-heat,https://primoheat.ca,+1-778-883-8447,Abbotsford,Lower Mainland,"heat_pumps, hybrid",unknown,Lennox,"Service area: Surrey, Abbotsford, Langley, Fraser Valley. Lennox Quality Dealer 10+ years; FortisBC Trade Ally since 2014; BBB Accredited; BCIT-trained staff; TECA member; Surrey mailing address only — headquartered in Abbotsford",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Reliance Home Comfort,reliance-home-comfort,https://reliancehomecomfort.com,+1-888-837-1451,Surrey,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Surrey, Metro Vancouver, BC-wide. Large national company; 24/7 call support; rental and purchase programs available; whole-home and mini-split heat pumps; residential focus",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
CP Heating (Canadian Pacific Heating & Cooling),cp-heating-canadian-pacific-heating-cooling,https://cpheating.ca,+1-604-256-7797,Burnaby,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Burnaby, Vancouver, Delta, Langley, White Rock, Abbotsford. 15+ years in Burnaby; same-day appointments; 24/7 emergency; licensed and insured; CleanBC rebate assistance confirmed",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Joyce Heating Services Ltd.,joyce-heating-services-ltd,https://joyceheating.com,+1-604-434-7747,Burnaby,Lower Mainland,"heat_pumps, hybrid",unknown,"Lennox, American Standard, Goodman","Service area: Burnaby, Vancouver, North Vancouver, West Vancouver, Maple Ridge. Family owned since 1960; Lennox + American Standard + Goodman dealer; free estimates; West Vancouver to Maple Ridge coverage",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Angels Heating Cooling & Plumbing,angels-heating-cooling-plumbing,https://angelsheating.com,+1-604-969-7770,Burnaby,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Burnaby, Vancouver, Richmond, Lower Mainland. BBB Accredited since 2019; in business since 2000; plumbing also offered; residential focus; boiler + heat pump + furnace + tankless",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Western Pacific HVAC,western-pacific-hvac,https://westernpacifichvac.com,+1-604-416-2611,Vancouver,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Burnaby, Vancouver, North Vancouver, Lower Mainland. TECA member; founded 2020; 24/7 emergency; 1-hour response time; registered with North Vancouver Chamber; CAUTION: building address shared with other firms at 999 W Broadway — verify independently",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Harbour Energy,harbour-energy,https://harbourenergy.ca,+1-604-272-7272,Richmond,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Burnaby, Vancouver, Richmond, Coquitlam, Delta, Langley, Surrey, New Westminster, Maple Ridge, Port Moody, White Rock. Since 2008; 2-year warranty on parts and labour; residential + commercial + industrial; pool heater installation; gas fitting; plumbing combined",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Onsite Heating and Cooling Ltd.,onsite-heating-and-cooling-ltd,https://onsiteheatingandcooling.com,+1-604-554-4444,Coquitlam,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Burnaby, Coquitlam, Vancouver, North Vancouver, Langley, Chilliwack, Lower Mainland. 4.8/5 rating 200+ reviews; 24/7 emergency; duct cleaning; furnace + heat pump + AC; free quotes",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Lower Mainland Refrigeration Systems Ltd.,lower-mainland-refrigeration-systems-ltd,https://refrigerationsystemsltd.com,+1-778-693-2532,Richmond,Lower Mainland,"heat_pumps, hybrid",unknown,Lennox,"Service area: Richmond, Vancouver, Burnaby, Delta, Lower Mainland. Founded Richmond 1998; Lennox Premier Dealer; Lennox Powered by Samsung mini-split specialist; Bryant dealer also confirmed; residential and commercial",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Pioneer Plumbing Heating & Cooling,pioneer-plumbing-heating-cooling,https://pioneerplumbing.com,+1-604-282-3251,Richmond,Lower Mainland,"heat_pumps, boilers",unknown,,"Service area: Richmond, Vancouver, Burnaby, Surrey, Lower Mainland. Since 1976; BBB Accredited A+; 350+ five-star Google reviews; plumbing + heating + heat pumps + drain; 24/7 emergency; Richmond dedicated office at 10880 No. 5 Rd",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Maple Furnace Heating & Air Conditioning,maple-furnace-heating-air-conditioning,https://maplefurnace.com,+1-604-324-4328,Vancouver,Lower Mainland,"heat_pumps, hybrid",unknown,"Fujitsu, Mitsubishi, Daikin","Service area: Richmond, Vancouver, Coquitlam, Burnaby, Lower Mainland. 25+ years experience; Fujitsu + Mitsubishi + Daikin mini-split specialist; residential and commercial; HVAC + water heating + gas fireplace; no physical address confirmed — contact by phone",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Vanco Heating Cooling & Duct Cleaning,vanco-heating-cooling-duct-cleaning,https://vancoheating.ca,+1-778-385-6844,Vancouver,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Richmond, Vancouver, Surrey, Port Coquitlam, Lower Mainland. Duct cleaning specialist; furnace + heat pump + AC + boiler; Sea Island and Brighouse Richmond coverage confirmed on website; no physical address confirmed — verify independently",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Jetson Home,jetson-home,https://jetsonhome.com,+1-888-996-5876,North Vancouver,Lower Mainland,heat_pumps,unknown,Carrier,"Service area: Richmond, Vancouver, North Vancouver, Lower Mainland, BC-wide. VC-backed startup (US$50M raised 2024); single-day installation model; instant online quotes; all-in pricing 30-50% below traditional installs; handles rebate paperwork; EV charger + heat pump water heater also available",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
M&T Air Conditioning Ltd.,m-t-air-conditioning-ltd,https://mandtac.com,+1-604-531-1934,Surrey,Lower Mainland,heat_pumps,unknown,,"Service area: Richmond, Vancouver, Surrey, Lower Mainland. Commercial and industrial focus since 1978; BBB Accredited; serves Richmond Steveston + Sea Island (YVR) logistics facilities; refrigeration + HVAC + VRF; 24/7 emergency; permit-ready documentation",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Best Way Heating Inc.,best-way-heating-inc,https://bestwayheating.ca,+1-604-474-3355,Coquitlam,Lower Mainland,"heat_pumps, hybrid",unknown,"Daikin, American Standard","Service area: Coquitlam, Port Coquitlam, Port Moody, Pitt Meadows, Maple Ridge, Burnaby, New Westminster. Coquitlam-based; Daikin ductless + multi-split up to 5 zones; 24/7 service; 1-year installation warranty; heat pump from $4900+tax; mini-split + multi-split specialist",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Westmount Heating,westmount-heating,https://westmountheating.com,+1-604-968-6356,Port Coquitlam,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Port Coquitlam, Coquitlam, Port Moody, Lower Mainland. Award-winning family-run business since 2002; Registered Heat Pump Contractor; boiler + furnace + heat pump + AC + tankless; licensed and bonded",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Rocky Point Heating and Air Conditioning,rocky-point-heating-and-air-conditioning,https://rockypointhvac.com,+1-778-994-4724,Coquitlam,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Port Moody, Coquitlam, Port Coquitlam, Burnaby, New Westminster, Surrey. Residential + commercial HVAC; sheet metal fabrication; permit coordination with Cities of Coquitlam and Port Coquitlam; SMACNA-BC member (commercial arm); local business pricing focus",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Mountain Ridge Heating and Gas,mountain-ridge-heating-and-gas,https://mountainridgeheating.com,+1-604-808-8311,Maple Ridge,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Port Moody, Coquitlam, Port Coquitlam, Anmore, Pitt Meadows, Maple Ridge, Mission. Locally owned by two Maple Ridge natives; in-house sheet metal fabrication shop; new builds + retrofits; FortisBC Hybrid Heating Pilot Program contractor; full HVAC scope for new construction",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Aquaflame Heating & Cooling Ltd.,aquaflame-heating-cooling-ltd,https://aquaflame.ca,+1-778-999-4422,Surrey,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Coquitlam, Surrey, Vancouver, Lower Mainland. BBB Accredited; comprehensive services: heat pump + furnace + boiler + duct cleaning + fireplace; dual fuel systems; Mon-Sat 7:30AM-9PM; 24/7 emergency",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Comfortpro Heat & AC,comfortpro-heat-ac,https://comfortprohvac.ca,+1-778-636-6001,Surrey,Lower Mainland,"heat_pumps, boilers",unknown,,"Service area: Coquitlam, Surrey, Lower Mainland, Fraser Valley. 10+ years experience; water source heat pump (WSHP) capability; residential + commercial; free quotes; 24/7 emergency; Surrey HQ serving Coquitlam",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Gandy Installations,gandy-installations,https://gandyinstallations.net,+1-604-534-5555,Langley,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,"Lennox, Carrier, Trane, Buderus, Navien, Rheem","Service area: Langley, Surrey, Vancouver, Horseshoe Bay to Hope corridor. Family business 65+ years; Lennox Premier Dealer; Carrier dealer; plumbing + electrical + HVAC combined; free estimates; 24/7 emergency; boiler + furnace + heat pump + AC",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Airco Heating & Cooling Ltd.,airco-heating-cooling-ltd,https://aircoheating.ca,+1-604-882-9224,Langley,Lower Mainland,"heat_pumps, hybrid",unknown,"Fujitsu, Daikin","Service area: Langley, Surrey, Delta, White Rock, Abbotsford, Lower Mainland. Since 1970; BBB Accredited; Fujitsu Elite Dealer + Daikin dealer; Langley Chamber of Commerce member; ductless mini-split specialist; serves City and Township",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Valley Pacific Mechanical,valley-pacific-mechanical,https://valleypacific.ca,+1-236-591-5150,Langley,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Langley, Fort Langley, Lower Mainland, Fraser Valley. Founded 2021; Red Seal project managers; new construction + renovation + commercial; MNBC Business Directory listed (Indigenous supply chain); dual fuel rebate up to $10000; 24/7 emergency",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Budget Heating & Plumbing,budget-heating-plumbing,https://budgetheating.ca,+1-604-343-1985,Langley,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Langley City, Township of Langley, Lower Mainland, Fraser Valley. BBB A+ rated; plumbing + HVAC + electrical combined; new boiler and heat pump installs; 24/7 emergency; BC Building Code compliant; licensed in electrical and gas",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Pacific Blue Mechanical,pacific-blue-mechanical,https://pacificbluemechanical.ca,+1-604-652-9468,Vancouver,Lower Mainland,"heat_pumps, boilers",unknown,,"Service area: Langley, Surrey, Vancouver, Lower Mainland. Since 2009; fixed-price repairs; free estimates; 100% satisfaction guarantee; 24/7; plumbing + HVAC combined; CAUTION: registered address is a commercial suite in downtown Vancouver — verify independently",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Alfa Services,alfa-services,https://alfaservices.ca,+1-778-899-9989,Burnaby,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Langley, Burnaby, Vancouver, Lower Mainland. Fully licensed insured bonded; multi-million liability coverage; electrical + gas + HVAC combined; EV charger installation also offered; boiler + furnace + heat pump + water filtration; Langley Township service confirmed",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Heritage Mountain Heating & Cooling,heritage-mountain-heating-cooling,https://heritagemountainhc.ca,+1-604-968-0029,Maple Ridge,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,Daikin,"Service area: Maple Ridge, Pitt Meadows, Coquitlam, Tri-Cities, Lower Mainland. Family-run Red Seal team since 2010; 600+ 5-star Google reviews; Platinum Community Votes 2023-2025; Master Group dealer (Daikin); ductless + radiant heating; highest-rated HVAC in Maple Ridge",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Big Valley Heating & Sheet Metal Ltd.,big-valley-heating-sheet-metal-ltd,https://bigvalleyheating.ca,+1-604-467-6474,Maple Ridge,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Maple Ridge, Pitt Meadows, Port Moody, Mission, Lower Mainland. Family founded 1986; BBB Accredited; custom sheet metal fabrication in-house; Port Moody to Mission coverage; gas + heat pump + AC + water heaters; ICC RSF dealer (wood pellet systems)",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Coleman Heating and Air Conditioning,coleman-heating-and-air-conditioning,https://colemanheating.ca,+1-604-466-5895,Maple Ridge,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Maple Ridge, Pitt Meadows, Coquitlam, Tri-Cities, Langley, Surrey, Burnaby, Vancouver, Richmond, White Rock. In business since 1998; $10000 FortisBC Dual Fuel rebate offered; furnace + heat pump + AC + tankless water heaters; 24/7 emergency; serves entire Lower Mainland",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Ryan Heating & Air Conditioning,ryan-heating-air-conditioning,https://heatingbyryan.ca,+1-778-228-5330,Maple Ridge,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Maple Ridge, Pitt Meadows, Mission, Lower Mainland. BBB A+ rating; locally owned 10+ years; Ridge Meadows Chamber member; furnace + heat pump + boiler + AC + gas fireplace; Sat hours available",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Hammer's Heating and Cooling,hammers-heating-and-cooling,https://hammersheating.ca,+1-778-899-5224,Pitt Meadows,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Pitt Meadows, Maple Ridge, Langley, Abbotsford, Mission, Port Moody, Surrey, Coquitlam, New Westminster. TSBC Licensed #LGA0202581; established 2013; furnace + AC + heat pump + HRV + hot water; Mon-Fri 7:30AM-5PM; gas line installation",,TRUE,,LGA0202581,,active,0,2026-02-21,FALSE,FALSE,FALSE
Meadow Ridge Custom Heating,meadow-ridge-custom-heating,https://meadowridgecustomheating.com,+1-604-463-0652,Maple Ridge,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Maple Ridge, Pitt Meadows, Mission, Lower Mainland. BBB Accredited; since 1986; owner-operated by Kerry Kaplanchuk; Bradford White water heater dealer; custom heating solutions; Mon-Sat hours",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Nova Heating & Sheet Metal Ltd.,nova-heating-sheet-metal-ltd,https://novaheating.ca,+1-604-988-3922,North Vancouver,Lower Mainland,"heat_pumps, hybrid",unknown,"Samsung, Armstrong Air, American Standard, Fujitsu, Daikin, Mitsubishi","Service area: North Vancouver, West Vancouver, Burnaby, Coquitlam. Family-owned since 1945; BBB A+ rated; 70+ years on the North Shore; custom sheet metal; ductless mini-split specialist; Sat hours available; manufacturer-trained",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
R&B Plumbing & Heating Ltd.,r-b-plumbing-heating-ltd,https://randbplumbing.ca,+1-604-337-2369,North Vancouver,Lower Mainland,"heat_pumps, boilers",unknown,Carrier,"Service area: North Vancouver, West Vancouver, Vancouver, Burnaby. Since 1990; Carrier Authorized Dealer; Carrier Indoor Air Quality Expert; FortisBC Trade Ally; Home Performance Contractor Network; TSBC #LGA0003173; plumbing + HVAC + gas fitting combined",,TRUE,,LGA0003173,,active,0,2026-02-21,FALSE,FALSE,FALSE
Paris Service Group,paris-service-group,https://parisservicegroup.com,+1-778-803-1582,North Vancouver,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: North Vancouver, West Vancouver, Vancouver, Lower Mainland. Subsidiary of Paris Mechanical; North Vancouver Chamber member; plumbing + HVAC + heat pump installation; 24/7 live answering; Mon-Fri 8AM-4:30PM; residential focus",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Whyte Mechanical,whyte-mechanical,https://whytemechanical.ca,+1-778-628-4826,Burnaby,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: North Vancouver, Vancouver, Burnaby, West Vancouver, Lower Mainland. Founded 2018 by Conor Whyte; 30+ years combined experience; North Shore residential specialist; licensed gas fitters; heat pump + plumbing + furnace + AC; premium craftsmanship focus",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Lambert Plumbing & Heating Ltd.,lambert-plumbing-heating-ltd,https://lambertplumbing.ca,+1-604-734-0890,Burnaby,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: North Vancouver, West Vancouver, Vancouver, Burnaby, New Westminster, Coquitlam, Richmond, Surrey. Originally Bob Lambert Heating since 1977; family-owned; 24/7 emergency; full plumbing + heating + cooling + drain cleaning; boiler + heat pump + forced air; rebate guidance offered",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
