Company_Name,Phone,Website,Email,City,Province,Service_Area_Cities,Brands_Installed,Services,Google_Maps_Link,Notes,Verification_Status
Accolade Heating & Air Conditioning,+1-778-689-7287,accoladeheating.com,james@accoladeheating.com,Surrey,BC,"Surrey, South Surrey, Newton, Guildford, Fleetwood, Cloverdale, Clayton","Rheem, Navien, Rinnai","Heat Pumps, Hydronics",https://maps.google.com/?q=Accolade+Heating+8820+134B+St+Surrey+BC,Red Seal certified; TECA Quality First certified; 15+ years experience; South Surrey coastal heat pump specialist; strata and coach house expertise; 24/7 emergency,Verified_Website
Veteran HVAC,+1-604-991-4894,veteranhvac.ca,info@veteranhvac.ca,Surrey,BC,"Surrey, Vancouver, Burnaby, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Veteran+HVAC+Surrey+BC,BC Hydro and FortisBC registered; CleanBC rebate assistance; boiler + tankless water heater + gas fitting; veteran-owned; no physical address confirmed — verify independently,Verified_Website
Greenway Mechanical,+1-604-359-8700,greenwaymechanical.com,,Port Coquitlam,BC,"Surrey, Vancouver, Port Coquitlam, Lower Mainland",,"Heat Pumps, Air-to-Water",https://maps.google.com/?q=Greenway+Mechanical+619+Swanson+Pl+Port+Coquitlam+BC,20+ years experience; geothermal/ground-source heat pump installation confirmed; residential + commercial + industrial; 10% discount for military/first responders/teachers; 24/7,Verified_Website
Pro Ace Heating and Air Conditioning,+1-604-293-3770,acecare.ca,,Burnaby,BC,"Surrey, Burnaby, Vancouver, Lower Mainland",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Pro+Ace+Heating+3993+Henning+Dr+Burnaby+BC,In business since 1995; Class A/B gas fitters; licensed refrigerant handling; covers all Surrey town centres; 24/7; EV charger installation also offered,Verified_Website
Primo Heat,+1-778-883-8447,primoheat.ca,info@primoheat.ca,Abbotsford,BC,"Surrey, Abbotsford, Langley, Fraser Valley",Lennox,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Primo+Heat+31334+Peardonville+Rd+Abbotsford+BC,Lennox Quality Dealer 10+ years; FortisBC Trade Ally since 2014; BBB Accredited; BCIT-trained staff; TECA member; Surrey mailing address only — headquartered in Abbotsford,Verified_Website
Reliance Home Comfort,+1-888-837-1451,reliancehomecomfort.com,,Surrey,BC,"Surrey, Metro Vancouver, BC-wide",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Reliance+Home+Comfort+8116+130+St+Surrey+BC,Large national company; 24/7 call support; rental and purchase programs available; whole-home and mini-split heat pumps; residential focus,Verified_Website
CP Heating (Canadian Pacific Heating & Cooling),+1-604-256-7797,cpheating.ca,info@cpheating.ca,Burnaby,BC,"Burnaby, Vancouver, Delta, Langley, White Rock, Abbotsford",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=CP+Heating+7220+Edmonds+St+Burnaby+BC,15+ years in Burnaby; same-day appointments; 24/7 emergency; licensed and insured; CleanBC rebate assistance confirmed,Verified_Website
Joyce Heating Services Ltd.,+1-604-434-7747,joyceheating.com,,Burnaby,BC,"Burnaby, Vancouver, North Vancouver, West Vancouver, Maple Ridge","Lennox, American Standard, Goodman","Heat Pumps, Gas Backup",https://maps.google.com/?q=Joyce+Heating+Services+4653+Burke+St+Burnaby+BC,Family owned since 1960; Lennox + American Standard + Goodman dealer; free estimates; West Vancouver to Maple Ridge coverage,Verified_Website
Angels Heating Cooling & Plumbing,+1-604-969-7770,angelsheating.com,info@angelsheating.com,Burnaby,BC,"Burnaby, Vancouver, Richmond, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Angels+Heating+3191+Thunderbird+Crescent+Burnaby+BC,BBB Accredited since 2019; in business since 2000; plumbing also offered; residential focus; boiler + heat pump + furnace + tankless,Verified_Website
Western Pacific HVAC,+1-604-416-2611,westernpacifichvac.com,,Vancouver,BC,"Burnaby, Vancouver, North Vancouver, Lower Mainland",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Western+Pacific+HVAC+999+West+Broadway+Vancouver+BC,TECA member; founded 2020; 24/7 emergency; 1-hour response time; registered with North Vancouver Chamber; CAUTION: building address shared with other firms at 999 W Broadway — verify independently,Verified_Website
Harbour Energy,+1-604-272-7272,harbourenergy.ca,,Richmond,BC,"Burnaby, Vancouver, Richmond, Coquitlam, Delta, Langley, Surrey, New Westminster, Maple Ridge, Port Moody, White Rock",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Harbour+Energy+Richmond+BC,Since 2008; 2-year warranty on parts and labour; residential + commercial + industrial; pool heater installation; gas fitting; plumbing combined,Verified_Website
Onsite Heating and Cooling Ltd.,+1-604-554-4444,onsiteheatingandcooling.com,,Coquitlam,BC,"Burnaby, Coquitlam, Vancouver, North Vancouver, Langley, Chilliwack, Lower Mainland",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Onsite+Heating+Cooling+1061+Ridgeway+Ave+Coquitlam+BC,4.8/5 rating 200+ reviews; 24/7 emergency; duct cleaning; furnace + heat pump + AC; free quotes,Verified_Website
Lower Mainland Refrigeration Systems Ltd.,+1-778-693-2532,refrigerationsystemsltd.com,,Richmond,BC,"Richmond, Vancouver, Burnaby, Delta, Lower Mainland",Lennox,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Lower+Mainland+Refrigeration+Systems+5180+McColl+Crescent+Richmond+BC,Founded Richmond 1998; Lennox Premier Dealer; Lennox Powered by Samsung mini-split specialist; Bryant dealer also confirmed; residential and commercial,Verified_Website
Pioneer Plumbing Heating & Cooling,+1-604-282-3251,pioneerplumbing.com,,Richmond,BC,"Richmond, Vancouver, Burnaby, Surrey, Lower Mainland",,"Heat Pumps, Hydronics",https://maps.google.com/?q=Pioneer+Plumbing+Heating+10880+No+5+Rd+Richmond+BC,Since 1976; BBB Accredited A+; 350+ five-star Google reviews; plumbing + heating + heat pumps + drain; 24/7 emergency; Richmond dedicated office at 10880 No. 5 Rd,Verified_Website
Maple Furnace Heating & Air Conditioning,+1-604-324-4328,maplefurnace.com,service@maplefurnace.com,Vancouver,BC,"Richmond, Vancouver, Coquitlam, Burnaby, Lower Mainland","Fujitsu, Mitsubishi, Daikin","Heat Pumps, Gas Backup",https://maps.google.com/?q=Maple+Furnace+Heating+Air+Conditioning+Vancouver+BC,25+ years experience; Fujitsu + Mitsubishi + Daikin mini-split specialist; residential and commercial; HVAC + water heating + gas fireplace; no physical address confirmed — contact by phone,Verified_Website
Vanco Heating Cooling & Duct Cleaning,+1-778-385-6844,vancoheating.ca,,Vancouver,BC,"Richmond, Vancouver, Surrey, Port Coquitlam, Lower Mainland",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Vanco+Heating+Cooling+Vancouver+BC,Duct cleaning specialist; furnace + heat pump + AC + boiler; Sea Island and Brighouse Richmond coverage confirmed on website; no physical address confirmed — verify independently,Verified_Website
Jetson Home,+1-888-996-5876,jetsonhome.com,,North Vancouver,BC,"Richmond, Vancouver, North Vancouver, Lower Mainland, BC-wide",Carrier (likely — Energy Star Cold Climate certified),Heat Pumps,https://maps.google.com/?q=Jetson+Home+197+Forester+St+North+Vancouver+BC,VC-backed startup (US$50M raised 2024); single-day installation model; instant online quotes; all-in pricing 30-50% below traditional installs; handles rebate paperwork; EV charger + heat pump water heater also available,Verified_Website
M&T Air Conditioning Ltd.,+1-604-531-1934,mandtac.com,,Surrey,BC,"Richmond, Vancouver, Surrey, Lower Mainland",(Commercial — multi-brand),"Heat Pumps, VRF",https://maps.google.com/?q=M+T+Air+Conditioning+Surrey+BC,Commercial and industrial focus since 1978; BBB Accredited; serves Richmond Steveston + Sea Island (YVR) logistics facilities; refrigeration + HVAC + VRF; 24/7 emergency; permit-ready documentation,Verified_Website
Best Way Heating Inc.,+1-604-474-3355,bestwayheating.ca,info@bestwayheating.ca,Coquitlam,BC,"Coquitlam, Port Coquitlam, Port Moody, Pitt Meadows, Maple Ridge, Burnaby, New Westminster","Daikin, American Standard","Heat Pumps, Gas Backup",https://maps.google.com/?q=Best+Way+Heating+1556+Tanglewood+Lane+Coquitlam+BC,Coquitlam-based; Daikin ductless + multi-split up to 5 zones; 24/7 service; 1-year installation warranty; heat pump from $4900+tax; mini-split + multi-split specialist,Verified_Website
Westmount Heating,+1-604-968-6356,westmountheating.com,info@westmountheating.com,Port Coquitlam,BC,"Port Coquitlam, Coquitlam, Port Moody, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Westmount+Heating+585+Seaborne+Ave+Port+Coquitlam+BC,Award-winning family-run business since 2002; Registered Heat Pump Contractor; boiler + furnace + heat pump + AC + tankless; licensed and bonded,Verified_Website
Rocky Point Heating and Air Conditioning,+1-778-994-4724,rockypointhvac.com,,Coquitlam,BC,"Port Moody, Coquitlam, Port Coquitlam, Burnaby, New Westminster, Surrey",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Rocky+Point+HVAC+2555+Passage+Dr+Coquitlam+BC,Residential + commercial HVAC; sheet metal fabrication; permit coordination with Cities of Coquitlam and Port Coquitlam; SMACNA-BC member (commercial arm); local business pricing focus,Verified_Website
Mountain Ridge Heating and Gas,+1-604-808-8311,mountainridgeheating.com,,Maple Ridge,BC,"Port Moody, Coquitlam, Port Coquitlam, Anmore, Pitt Meadows, Maple Ridge, Mission",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Mountain+Ridge+Heating+Gas+14301+256th+St+Maple+Ridge+BC,Locally owned by two Maple Ridge natives; in-house sheet metal fabrication shop; new builds + retrofits; FortisBC Hybrid Heating Pilot Program contractor; full HVAC scope for new construction,Verified_Website
Aquaflame Heating & Cooling Ltd.,+1-778-999-4422,aquaflame.ca,info@aquaflame.ca,Surrey,BC,"Coquitlam, Surrey, Vancouver, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Aquaflame+Heating+Cooling+17720+57th+Ave+Surrey+BC,BBB Accredited; comprehensive services: heat pump + furnace + boiler + duct cleaning + fireplace; dual fuel systems; Mon-Sat 7:30AM-9PM; 24/7 emergency,Verified_Website
Comfortpro Heat & AC,+1-778-636-6001,comfortprohvac.ca,info@comfortprohvac.ca,Surrey,BC,"Coquitlam, Surrey, Lower Mainland, Fraser Valley",,"Heat Pumps, Hydronics",https://maps.google.com/?q=Comfortpro+Heat+AC+5896+183A+St+Surrey+BC,10+ years experience; water source heat pump (WSHP) capability; residential + commercial; free quotes; 24/7 emergency; Surrey HQ serving Coquitlam,Verified_Website
Gandy Installations,+1-604-534-5555,gandyinstallations.net,,Langley,BC,"Langley, Surrey, Vancouver, Horseshoe Bay to Hope corridor","Lennox, Carrier, Trane, Buderus, Navien, Rheem","Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Gandy+Installations+20363+62+Ave+Langley+BC,Family business 65+ years; Lennox Premier Dealer; Carrier dealer; plumbing + electrical + HVAC combined; free estimates; 24/7 emergency; boiler + furnace + heat pump + AC,Verified_Website
Airco Heating & Cooling Ltd.,+1-604-882-9224,aircoheating.ca,service@aircoheating.ca,Langley,BC,"Langley, Surrey, Delta, White Rock, Abbotsford, Lower Mainland","Fujitsu, Daikin","Heat Pumps, Gas Backup",https://maps.google.com/?q=Airco+Heating+Cooling+20157+71A+Ave+Langley+BC,Since 1970; BBB Accredited; Fujitsu Elite Dealer + Daikin dealer; Langley Chamber of Commerce member; ductless mini-split specialist; serves City and Township,Verified_Website
Valley Pacific Mechanical,+1-236-591-5150,valleypacific.ca,info@valleypacific.ca,Langley,BC,"Langley, Fort Langley, Lower Mainland, Fraser Valley",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Valley+Pacific+Mechanical+19889+96+Ave+Langley+BC,Founded 2021; Red Seal project managers; new construction + renovation + commercial; MNBC Business Directory listed (Indigenous supply chain); dual fuel rebate up to $10000; 24/7 emergency,Verified_Website
Budget Heating & Plumbing,+1-604-343-1985,budgetheating.ca,info@budgetheating.ca,Langley,BC,"Langley City, Township of Langley, Lower Mainland, Fraser Valley",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Budget+Heating+Plumbing+Langley+BC,BBB A+ rated; plumbing + HVAC + electrical combined; new boiler and heat pump installs; 24/7 emergency; BC Building Code compliant; licensed in electrical and gas,Verified_Website
Pacific Blue Mechanical,+1-604-652-9468,pacificbluemechanical.ca,,Vancouver,BC,"Langley, Surrey, Vancouver, Lower Mainland",,"Heat Pumps, Hydronics",https://maps.google.com/?q=Pacific+Blue+Mechanical+475+W+Georgia+St+Vancouver+BC,Since 2009; fixed-price repairs; free estimates; 100% satisfaction guarantee; 24/7; plumbing + HVAC combined; CAUTION: registered address is a commercial suite in downtown Vancouver — verify independently,Verified_Website
Alfa Services,+1-778-899-9989,alfaservices.ca,,Burnaby,BC,"Langley, Burnaby, Vancouver, Lower Mainland",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Alfa+Services+7228+Winston+St+Burnaby+BC,Fully licensed insured bonded; multi-million liability coverage; electrical + gas + HVAC combined; EV charger installation also offered; boiler + furnace + heat pump + water filtration; Langley Township service confirmed,Verified_Website
Heritage Mountain Heating & Cooling,+1-604-968-0029,heritagemountainhc.ca,,Maple Ridge,BC,"Maple Ridge, Pitt Meadows, Coquitlam, Tri-Cities, Lower Mainland",Daikin,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Heritage+Mountain+Heating+Cooling+13210+Shoesmith+Crescent+Maple+Ridge+BC,Family-run Red Seal team since 2010; 600+ 5-star Google reviews; Platinum Community Votes 2023-2025; Master Group dealer (Daikin); ductless + radiant heating; highest-rated HVAC in Maple Ridge,Verified_Website
Big Valley Heating & Sheet Metal Ltd.,+1-604-467-6474,bigvalleyheating.ca,sales@bigvalleyheating.ca,Maple Ridge,BC,"Maple Ridge, Pitt Meadows, Port Moody, Mission, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Big+Valley+Heating+Sheet+Metal+11868+216+St+Maple+Ridge+BC,Family founded 1986; BBB Accredited; custom sheet metal fabrication in-house; Port Moody to Mission coverage; gas + heat pump + AC + water heaters; ICC RSF dealer (wood pellet systems),Verified_Website
Coleman Heating and Air Conditioning,+1-604-466-5895,colemanheating.ca,,Maple Ridge,BC,"Maple Ridge, Pitt Meadows, Coquitlam, Tri-Cities, Langley, Surrey, Burnaby, Vancouver, Richmond, White Rock",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Coleman+Heating+11360+241A+St+Maple+Ridge+BC,In business since 1998; $10000 FortisBC Dual Fuel rebate offered; furnace + heat pump + AC + tankless water heaters; 24/7 emergency; serves entire Lower Mainland,Verified_Website
Ryan Heating & Air Conditioning,+1-778-228-5330,heatingbyryan.ca,,Maple Ridge,BC,"Maple Ridge, Pitt Meadows, Mission, Lower Mainland",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Ryan+Heating+Air+Conditioning+21433+Cherry+Pl+Maple+Ridge+BC,BBB A+ rating; locally owned 10+ years; Ridge Meadows Chamber member; furnace + heat pump + boiler + AC + gas fireplace; Sat hours available,Verified_Website
Hammer's Heating and Cooling,+1-778-899-5224,hammersheating.ca,,Pitt Meadows,BC,"Pitt Meadows, Maple Ridge, Langley, Abbotsford, Mission, Port Moody, Surrey, Coquitlam, New Westminster",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Hammers+Heating+Cooling+Pitt+Meadows+BC,TSBC Licensed #LGA0202581; established 2013; furnace + AC + heat pump + HRV + hot water; Mon-Fri 7:30AM-5PM; gas line installation,Verified_Website
Meadow Ridge Custom Heating,+1-604-463-0652,meadowridgecustomheating.com,info@meadowridgecustomheating.com,Maple Ridge,BC,"Maple Ridge, Pitt Meadows, Mission, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Meadow+Ridge+Custom+Heating+27242+Dewdney+Trunk+Rd+Maple+Ridge+BC,BBB Accredited; since 1986; owner-operated by Kerry Kaplanchuk; Bradford White water heater dealer; custom heating solutions; Mon-Sat hours,Verified_Website
Nova Heating & Sheet Metal Ltd.,+1-604-988-3922,novaheating.ca,,North Vancouver,BC,"North Vancouver, West Vancouver, Burnaby, Coquitlam","Samsung, Armstrong Air, American Standard, Fujitsu, Daikin, Mitsubishi","Heat Pumps, Gas Backup",https://maps.google.com/?q=Nova+Heating+Sheet+Metal+663+3rd+St+W+North+Vancouver+BC,Family-owned since 1945; BBB A+ rated; 70+ years on the North Shore; custom sheet metal; ductless mini-split specialist; Sat hours available; manufacturer-trained,Verified_Website
R&B Plumbing & Heating Ltd.,+1-604-337-2369,randbplumbing.ca,,North Vancouver,BC,"North Vancouver, West Vancouver, Vancouver, Burnaby",Carrier,"Heat Pumps, Hydronics",https://maps.google.com/?q=R+B+Plumbing+Heating+1075+W+1st+St+North+Vancouver+BC,Since 1990; Carrier Authorized Dealer; Carrier Indoor Air Quality Expert; FortisBC Trade Ally; Home Performance Contractor Network; TSBC #LGA0003173; plumbing + HVAC + gas fitting combined,Verified_Website
Paris Service Group,+1-778-803-1582,parisservicegroup.com,hello@parisservicegroup.com,North Vancouver,BC,"North Vancouver, West Vancouver, Vancouver, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Paris+Service+Group+390+Harbour+Ave+North+Vancouver+BC,Subsidiary of Paris Mechanical; North Vancouver Chamber member; plumbing + HVAC + heat pump installation; 24/7 live answering; Mon-Fri 8AM-4:30PM; residential focus,Verified_Website
Whyte Mechanical,+1-778-628-4826,whytemechanical.ca,,Burnaby,BC,"North Vancouver, Vancouver, Burnaby, West Vancouver, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Whyte+Mechanical+1625+Ingleton+Ave+Burnaby+BC,Founded 2018 by Conor Whyte; 30+ years combined experience; North Shore residential specialist; licensed gas fitters; heat pump + plumbing + furnace + AC; premium craftsmanship focus,Verified_Website
Lambert Plumbing & Heating Ltd.,+1-604-734-0890,lambertplumbing.ca,info@lambertplumbing.ca,Burnaby,BC,"North Vancouver, West Vancouver, Vancouver, Burnaby, New Westminster, Coquitlam, Richmond, Surrey",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Lambert+Plumbing+Heating+6741+Cariboo+Rd+Burnaby+BC,Originally Bob Lambert Heating since 1977; family-owned; 24/7 emergency; full plumbing + heating + cooling + drain cleaning; boiler + heat pump + forced air; rebate guidance offered,Verified_Website
